,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,Class
26,-108041.60865040577,-80146.99323008845,-424.3180215257483,74785.0850210735,-1709.5214411836841,-10080.7864299087,59062.49477988382,27989.220242675237,30039.36053317866,-25636.306967419438,disease
27,12788.03401815799,5042.074666448407,-64375.23136810272,-15148.396392872546,12872.455129724189,8760.298594830576,4404.183803475344,-27440.030443409825,-11290.071107970442,-29978.356942444174,disease
28,-44188.70493947768,17662.45691736767,-39443.44397534934,-48347.492104444245,165010.41010657395,53973.23589531854,5129.8287170714975,-19725.228311951512,-4075.8671844100445,43884.43194419133,disease
29,-51486.37680838469,18509.411015964764,-40347.19573277524,10434.182703509045,-29318.574853096492,2197.9939246020726,-49013.85973453701,-25493.063440700378,2167.236558006547,14918.008837511623,disease
30,37896.880300211145,36977.03290479292,9293.924997557317,107849.27321585194,-17258.644138474185,48086.31490234512,6263.376197953183,1740.9718936179477,78631.24741283945,49263.79023699262,disease
31,161326.45634046316,-43877.27850326763,-30829.680907274473,-7354.660415791845,41380.29066198542,15902.048301108065,3377.068093474374,27202.95463281944,-213.72805614672214,6646.627443127497,disease
32,134404.40868768116,611.4906106485039,-77571.75376005317,-20654.05057710395,-78387.95451596387,-42014.36850350966,28456.790612006072,15857.468708131852,-22353.12009545381,12873.634486501222,disease
33,153488.41192370272,-91425.68031319969,52390.111917422044,4660.538117113482,-7006.44290844344,-10547.105295518984,11693.720660749404,8206.407688417452,-23357.560720643152,6193.800085349507,disease
34,-55603.943631632195,-61190.72555522278,101827.526829202,44734.61457872209,-45248.521796242785,24871.492879556998,1427.594817516581,-14049.274535709386,-23879.282143600387,40767.37815908436,disease
35,17974.49008596342,-6417.254542446614,164572.23075793704,-52906.37957810768,-33701.625284067384,27108.851730402832,-2655.5838011689407,3081.96559966166,-6429.357737700939,-30960.357803985848,disease
36,70077.5529367831,268805.66545577184,76129.73856786087,43941.8517752161,65010.77662949033,-59780.74679622163,-13412.8874990687,-3513.0649772523707,-943.9350582787738,-26507.606329716793,disease
37,19393.609583764046,-47634.72833050019,97600.41196540318,-15015.993973503415,32769.90055641021,-48318.14646457552,-37041.99523262647,14728.911875419295,-24058.265314039498,4986.253126968496,disease
38,78658.90815607726,-19113.804855298058,86017.31510551345,-74130.2659238924,27745.487878766067,-69442.36529864917,-15421.325957275589,-6247.5203034441265,-4650.982537078618,-11825.395761265898,disease
39,-47810.41236574374,-13794.744094967833,121890.12942971007,-97476.33901596496,3694.4914958755353,26349.274752122124,-12741.584124048528,-16482.364715251257,-624.0284527930808,-19656.7281737558,disease
40,201739.75405030965,-44161.418949432016,110078.13450018557,25206.62637082236,-113496.00749282785,-36943.26518297637,-4656.84717995201,-53016.55369844558,69295.59210406615,21888.093296099607,disease
41,-60341.91410602647,-60565.2889388989,-72856.81974226257,-36719.38629258275,-14253.177919025737,8466.1840799544,-32360.055804915417,-3581.0858765021867,-535.4390009228657,-3140.22742301497,control
42,-43427.187774546845,-71210.92675259542,-70128.21524738519,-26810.9403790168,-6633.48112280948,16536.44349062193,1033.5646380478563,6144.208496907167,4770.217126791868,2793.8339613202857,control
43,-149.85258486733636,-34393.67628971091,-41729.98497679038,-9357.336106396198,-56020.76485152839,68276.03688842451,14152.527935377262,3523.258382897017,-6876.191616569367,-7242.714665350159,control
44,-85320.15039050527,-29100.281307596662,-66099.09015877976,-86068.44309252247,-47227.75887041696,-14459.175122584144,60429.59112290663,-32754.001932682975,-19191.893575547296,36124.656294229804,control
45,-44830.27287876847,10638.436932875673,-50496.63998620007,-2756.3320843240344,35720.73961095518,-59198.40887231213,-3921.49639557666,-12968.170188733075,268.8142722753804,-14924.38124476728,control
46,101605.10709064158,-56281.91687831314,101302.9263951302,-21136.637803048707,-62141.945827098585,70418.8340244606,16202.168135024132,21970.797815828097,-13810.499055057851,-10068.15963386472,control
47,50597.81107040696,-36951.17910938489,122176.77044072447,-9930.459249519698,-40731.585770284015,32476.467597877545,25167.842882342553,39226.394965893385,18675.994554799116,-19311.293969698647,control
48,-174717.2923430365,-46950.962352081224,212521.5004357709,-46505.17641437134,-67536.6582721757,-26398.94481614442,5951.841732797534,-19635.070761189825,16493.207178098608,-12476.31025178986,control
49,-5864.165344922558,7591.2638962013925,114531.33977796686,-20466.409038576094,18511.429539929275,-18128.335367922493,26596.218650473867,36768.64122899922,21653.917458555166,-29171.224142451498,control
50,-37843.65213224774,-23291.534154237987,118014.80158042758,-54630.35821568198,33428.77956140045,-70656.53250825017,-31010.193388054005,-2961.0021384823126,-7019.745427705033,-7659.277614890233,control
51,-67258.24272682298,-10365.931500047807,-51983.48272053659,-60286.466962100814,6830.24233653604,101703.88347184843,15712.529722339066,16561.045825317746,15739.872688543377,1838.583985684792,control
52,-21891.900188795746,-70806.06158379624,-38530.37581908735,-4603.087264175464,-42727.13780085155,-16494.310340858872,25576.852825925656,28605.440113198256,14041.266985662247,-10871.90735860703,control
53,-47266.909927416316,10226.376477253863,-23934.09687037241,38296.43330066264,-70115.34329136557,52729.08680240518,-26653.881264997603,41834.59378942262,-18202.9192617294,7722.130358751958,control
54,-118273.55471499756,86897.51525225482,-48878.218822601964,-99569.69688908945,48663.08254652126,25696.418832702944,-9329.19862151812,-23015.60336870882,13193.21315911886,10178.617398496894,control
55,-15457.462188458976,-27538.449185259597,-8458.212932906692,46832.33475592353,-12358.061504490635,-36217.46848764163,-4234.356028819285,-4486.036335712442,22837.709916354434,23679.186084035722,control
